,Year,Country.Name,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total,Country_Year
0,1992,Afghanistan,AFG,12677538816.0,14485543,7.13,2.89,0.046,0.022,0.363,0.927,0.022,0.0,1.379,0.01,0.0,0.01,0.01,0.01,0.01,Afghanistan_1992
3,1995,Afghanistan,AFG,12307525632.0,18110662,7.83,2.88,0.047,0.015,0.322,0.824,0.022,2.22e-16,1.23,0.01,0.0,0.01,0.01,0.01,0.01,Afghanistan_1995
4,1996,Afghanistan,AFG,12070125568.0,18853444,8.67,3.12,0.047,0.007,0.308,0.78,0.022,0.001,1.165,0.01,0.0,0.01,0.01,0.01,0.0,Afghanistan_1996
6,1998,Afghanistan,AFG,11692172288.0,19737770,9.96,3.72,0.047,0.004,0.265,0.691,0.022,0.0,1.029,0.01,0.0,0.01,0.01,0.01,0.0,Afghanistan_1998
7,1999,Afghanistan,AFG,11517317120.0,20170848,10.78,4.0,0.047,0.004,0.242,0.495,0.022,0.0,0.81,0.01,0.0,0.01,0.0,0.01,0.0,Afghanistan_1999
8,2000,Afghanistan,AFG,11283792896.0,20779958,9.56,3.48,0.01,0.004,0.224,0.498,0.022,0.0,0.758,0.0,0.0,0.0,0.0,0.01,0.0,Afghanistan_2000
9,2001,Afghanistan,AFG,11021273088.0,21606992,8.35,3.07,0.007,0.07,0.209,0.491,0.022,0.0,0.798,0.0,0.0,0.0,0.0,0.01,0.0,Afghanistan_2001
10,2002,Afghanistan,AFG,18804871168.0,22600774,10.2,3.56,0.011,0.055,0.546,0.44,0.0,2.22e-16,1.052,0.0,0.0,0.01,0.0,0.0,0.0,Afghanistan_2002
12,2004,Afghanistan,AFG,22332571648.0,24726690,10.5,3.67,0.01,0.092,0.227,0.561,0.0,0.0,0.889,0.0,0.0,0.0,0.01,0.0,0.0,Afghanistan_2004
13,2005,Afghanistan,AFG,25397688320.0,25654274,10.73,3.82,0.006,0.106,0.33,0.861,0.0,0.0,1.303,0.0,0.0,0.01,0.01,0.0,0.0,Afghanistan_2005
14,2006,Afghanistan,AFG,28704401408.0,26433058,11.18,3.66,0.012,0.161,0.329,1.133,0.0,0.0,1.635,0.0,0.0,0.01,0.01,0.0,0.01,Afghanistan_2006
15,2007,Afghanistan,AFG,34507530240.0,27100542,11.61,3.6,0.012,0.749,0.308,1.2,0.0,0.0,2.269,0.0,0.01,0.01,0.01,0.0,0.01,Afghanistan_2007
16,2008,Afghanistan,AFG,36561043456.0,27722282,12.9,3.88,0.015,1.077,0.297,2.81,0.0,0.001,4.2,0.0,0.01,0.01,0.03,0.0,0.01,Afghanistan_2008
17,2009,Afghanistan,AFG,44358721536.0,28394806,13.39,4.16,0.013,1.513,0.271,4.943,0.0,8.88e-16,6.74,0.0,0.01,0.0,0.04,0.0,0.02,Afghanistan_2009
18,2010,Afghanistan,AFG,47399424000.0,29185512,15.2,4.58,0.015,2.246,0.271,5.866,0.0,0.0,8.398,0.0,0.02,0.0,0.05,0.0,0.03,Afghanistan_2010
19,2011,Afghanistan,AFG,53326336000.0,30117410,15.5,4.68,0.015,4.181,0.308,7.603,0.0,0.0,12.106,0.0,0.03,0.0,0.07,0.0,0.04,Afghanistan_2011
20,2012,Afghanistan,AFG,59166900224.0,31161378,15.63,4.72,0.029,3.125,0.308,6.756,0.0,0.001,10.219,0.0,0.02,0.0,0.06,0.0,0.03,Afghanistan_2012
21,2013,Afghanistan,AFG,62993698816.0,32269592,15.82,4.77,0.036,3.327,0.297,4.782,0.0,0.0,8.441,0.0,0.02,0.0,0.04,0.0,0.02,Afghanistan_2013
22,2014,Afghanistan,AFG,64346107904.0,33370804,16.3,5.09,0.029,3.704,0.271,3.77,0.0,0.0,7.774,0.0,0.02,0.0,0.03,0.0,0.02,Afghanistan_2014
23,2015,Afghanistan,AFG,62783393792.0,34413600,15.96,4.62,0.041,2.843,0.282,4.738,0.0,0.0,7.904,0.0,0.02,0.0,0.04,0.0,0.02,Afghanistan_2015
24,2016,Afghanistan,AFG,64297426944.0,35383028,15.83,5.05,0.076,2.878,0.319,3.472,0.0,0.0,6.745,0.01,0.02,0.0,0.03,0.0,0.02,Afghanistan_2016
25,2017,Afghanistan,AFG,68752801792.0,36296108,15.61,5.27,0.045,3.448,0.3,3.067,0.0,8.88e-16,6.86,0.0,0.02,0.0,0.03,0.0,0.02,Afghanistan_2017
26,2018,Afghanistan,AFG,67594969088.0,37171920,15.91,4.69,0.057,3.849,0.293,4.146,0.0,0.0,8.345,0.0,0.03,0.0,0.03,0.0,0.02,Afghanistan_2018
27,1992,Albania,ALB,8745680896.0,3245887,3.42,1.11,0.081,0.8,0.198,1.416,0.0,4.44e-16,2.495,0.02,0.01,0.01,0.02,0.0,0.01,Albania_1992
29,1994,Albania,ALB,10596127744.0,3146518,4.09,1.37,0.04,0.169,0.099,1.605,0.0,0.0,1.913,0.01,0.0,0.0,0.02,0.0,0.01,Albania_1994
30,1995,Albania,ALB,11600734208.0,3112923,4.09,1.34,0.081,0.161,0.051,1.773,0.0,0.0,2.066,0.01,0.0,0.0,0.02,0.0,0.01,Albania_1995
31,1996,Albania,ALB,12727380992.0,3098699,3.92,1.19,0.081,0.114,0.044,1.755,0.0,0.0,1.993,0.01,0.0,0.0,0.02,0.0,0.01,Albania_1996
32,1997,Albania,ALB,11396507648.0,3099747,3.72,1.13,0.04,0.044,0.037,1.411,0.0,0.0,1.532,0.01,0.0,0.0,0.01,0.0,0.01,Albania_1997
33,1998,Albania,ALB,12466707456.0,3110699,3.57,1.16,0.033,0.055,0.033,1.623,0.0,2.22e-16,1.744,0.01,0.0,0.0,0.02,0.0,0.01,Albania_1998
35,2000,Albania,ALB,15214264320.0,3129246,3.71,1.21,0.073,0.07,0.022,2.84,0.0,0.0,3.004,0.01,0.0,0.0,0.03,0.0,0.01,Albania_2000
37,2002,Albania,ALB,17408065536.0,3126183,3.56,1.29,0.0,0.084,0.026,3.638,0.0,4.44e-16,3.748,0.0,0.0,0.0,0.04,0.0,0.01,Albania_2002
38,2003,Albania,ALB,18465497088.0,3118017,3.57,1.3,0.231,0.084,0.026,3.891,0.0,8.88e-16,4.232,0.03,0.0,0.0,0.04,0.0,0.02,Albania_2003
40,2005,Albania,ALB,20781076480.0,3086810,3.49,1.27,0.194,0.073,0.022,3.91,0.0,0.0,4.199,0.02,0.0,0.0,0.04,0.0,0.01,Albania_2005
42,2007,Albania,ALB,23574646784.0,3033993,3.31,1.21,0.348,0.073,0.033,3.375,0.0,4.44e-16,3.829,0.03,0.0,0.0,0.03,0.0,0.01,Albania_2007
43,2008,Albania,ALB,25476937728.0,3002683,3.13,1.13,0.359,0.103,0.015,3.796,0.0,0.0,4.272,0.03,0.0,0.0,0.03,0.0,0.01,Albania_2008
44,2009,Albania,ALB,26471389184.0,2973044,3.02,1.12,0.432,0.388,0.018,3.415,0.0,0.001,4.254,0.04,0.0,0.0,0.03,0.0,0.01,Albania_2009
45,2010,Albania,ALB,27598268416.0,2948029,3.03,1.11,0.502,0.429,0.026,3.492,0.0,0.0,4.448,0.04,0.0,0.0,0.03,0.0,0.01,Albania_2010
46,2011,Albania,ALB,28452651008.0,2928601,3.02,1.15,0.692,0.535,0.029,3.774,0.0,0.001,5.031,0.05,0.0,0.0,0.03,0.0,0.01,Albania_2011
47,2012,Albania,ALB,28855377920.0,2914091,3.06,1.15,0.857,0.627,0.029,3.155,0.0,0.0,4.668,0.06,0.0,0.0,0.03,0.0,0.01,Albania_2012
49,2014,Albania,ALB,29675640832.0,2896307,3.09,1.14,0.677,1.029,0.059,3.856,0.0,0.0,5.621,0.05,0.01,0.0,0.03,0.0,0.02,Albania_2014
50,2015,Albania,ALB,30444531712.0,2890524,3.11,1.19,0.773,0.322,0.062,3.338,0.0,0.001,4.496,0.05,0.0,0.0,0.03,0.0,0.01,Albania_2015
51,2016,Albania,ALB,31481821184.0,2886427,3.09,1.23,0.78,0.191,0.161,3.36,0.0,0.0,4.492,0.05,0.0,0.0,0.03,0.0,0.01,Albania_2016
52,2017,Albania,ALB,32678760448.0,2884169,3.05,1.19,0.78,0.275,0.168,4.079,0.0,0.0,5.302,0.05,0.0,0.0,0.03,0.0,0.01,Albania_2017
53,2018,Albania,ALB,34009112576.0,2882735,3.01,1.08,0.78,0.473,0.15,3.331,0.0,0.0,4.734,0.05,0.0,0.0,0.03,0.0,0.01,Albania_2018
54,1992,Algeria,DZA,127983000000.0,27028330,54.14,4.87,2.998,2.378,31.932,28.678,13.898,0.0,79.883,0.56,0.03,0.81,0.31,5.86,0.35,Algeria_1992
55,1993,Algeria,DZA,130276000000.0,27635518,57.34,4.78,2.988,1.924,36.098,27.993,12.941,0.0,81.944,0.54,0.02,0.89,0.3,5.54,0.36,Algeria_1993
56,1994,Algeria,DZA,134280000000.0,28213778,58.29,4.37,2.821,2.286,37.386,30.45,13.204,1.42e-14,86.147,0.48,0.03,0.91,0.33,5.57,0.38,Algeria_1994
57,1995,Algeria,DZA,145055000000.0,28757788,62.49,4.28,3.165,1.935,47.222,27.081,15.579,0.0,94.981,0.51,0.02,1.12,0.29,6.63,0.4,Algeria_1995
58,1996,Algeria,DZA,156579000000.0,29266414,65.7,4.38,3.006,1.407,50.567,27.407,14.4,0.0,96.786,0.47,0.02,1.15,0.29,6.07,0.4,Algeria_1996
59,1997,Algeria,DZA,164644000000.0,29742980,67.38,4.24,3.271,1.381,39.007,30.019,13.326,0.001,87.005,0.5,0.02,0.88,0.31,5.49,0.36,Algeria_1997
60,1998,Algeria,DZA,179963000000.0,30192750,68.78,4.82,3.446,2.11,54.641,33.09,13.333,0.001,106.621,0.53,0.02,1.22,0.34,5.76,0.44,Algeria_1998
61,1999,Algeria,DZA,193180000000.0,30623406,71.37,4.76,3.435,2.173,50.92,22.188,12.952,0.0,91.668,0.5,0.02,1.1,0.22,5.78,0.37,Algeria_1999
63,2001,Algeria,DZA,223420000000.0,31451514,72.28,7.64,3.766,2.096,41.029,28.458,8.431,0.0,83.78,0.5,0.02,0.86,0.27,3.1,0.33,Algeria_2001
65,2003,Algeria,DZA,273569000000.0,32264158,80.52,7.74,4.032,2.788,44.027,31.943,8.259,0.0,91.048,0.48,0.03,0.86,0.3,2.86,0.33,Algeria_2003
66,2004,Algeria,DZA,296774000000.0,32692152,81.19,8.4,4.897,1.924,41.209,32.818,7.006,0.0,87.853,0.54,0.02,0.78,0.3,2.25,0.31,Algeria_2004
67,2005,Algeria,DZA,326854000000.0,33149718,84.3,7.8,5.662,2.363,61.211,31.052,6.185,0.0,106.473,0.59,0.02,1.13,0.28,1.86,0.36,Algeria_2005
70,2008,Algeria,DZA,395659000000.0,34730604,85.58,7.92,7.583,3.008,51.551,37.363,9.527,0.0,109.032,0.67,0.02,0.88,0.33,2.63,0.34,Algeria_2008
71,2009,Algeria,DZA,418248000000.0,35333884,82.34,8.48,8.22,1.594,54.894,44.891,10.585,0.001,120.185,0.7,0.01,0.95,0.41,2.88,0.38,Algeria_2009
72,2010,Algeria,DZA,450706000000.0,35977448,82.8,8.74,8.252,1.216,53.368,45.365,9.611,0.001,117.813,0.66,0.01,0.86,0.4,2.62,0.35,Algeria_2010
73,2011,Algeria,DZA,482035000000.0,36661436,81.33,9.4,8.187,1.048,56.721,46.92,6.932,1.42e-14,119.808,0.61,0.01,0.89,0.41,1.96,0.35,Algeria_2011
74,2012,Algeria,DZA,497923000000.0,37383900,85.78,10.43,7.697,1.037,64.114,48.539,6.723,0.001,128.111,0.56,0.01,0.99,0.42,1.84,0.37,Algeria_2012
75,2013,Algeria,DZA,511888000000.0,38140136,85.52,10.92,7.298,0.725,65.45,51.919,7.042,0.001,132.435,0.51,0.0,1.0,0.45,1.9,0.38,Algeria_2013
76,2014,Algeria,DZA,531308000000.0,38923688,89.3,11.72,7.668,0.546,73.833,52.886,7.595,0.001,142.529,0.51,0.0,1.11,0.45,1.99,0.4,Algeria_2014
77,2015,Algeria,DZA,551519000000.0,39728020,89.63,12.32,8.062,0.502,78.769,55.59,6.76,0.0,149.683,0.56,0.0,1.16,0.47,1.82,0.42,Algeria_2015
80,2018,Algeria,DZA,590318000000.0,42228416,94.4,12.51,10.749,1.33,88.887,54.922,5.598,0.001,161.487,0.69,0.01,1.19,0.45,1.36,0.44,Algeria_2018
81,1992,Angola,AGO,12363426816.0,12657361,28.95,21.18,0.123,0.0,1.066,2.29,1.685,0.0,5.164,0.02,0.0,0.03,0.02,0.71,0.02,Angola_1992
82,1993,Angola,AGO,9985481728.0,13075044,29.58,21.13,0.102,0.0,1.048,2.968,1.63,0.0,5.748,0.02,0.0,0.03,0.03,0.7,0.03,Angola_1993
83,1994,Angola,AGO,10760810496.0,13503753,30.49,21.09,0.098,0.0,0.971,1.297,1.499,4.44e-16,3.865,0.02,0.0,0.02,0.01,0.63,0.02,Angola_1994
84,1995,Angola,AGO,13143744512.0,13945205,32.23,21.08,0.081,0.0,1.048,8.416,1.403,0.001,10.949,0.01,0.0,0.02,0.09,0.6,0.05,Angola_1995
85,1996,Angola,AGO,15819794432.0,14400722,37.67,18.12,0.11,0.0,1.048,7.039,2.228,0.0,10.424,0.02,0.0,0.02,0.07,0.94,0.04,Angola_1996
86,1997,Angola,AGO,17972224000.0,14871572,36.64,17.42,0.122,0.0,1.066,3.331,2.829,0.0,7.348,0.02,0.0,0.02,0.03,1.16,0.03,Angola_1997
88,1999,Angola,AGO,21527384064.0,15866871,40.85,18.7,0.084,0.0,1.048,3.708,4.291,0.0,9.13,0.01,0.0,0.02,0.04,1.92,0.04,Angola_1999
89,2000,Angola,AGO,23512020992.0,16395477,37.0,17.77,0.081,0.0,1.085,3.668,4.683,0.0,9.516,0.01,0.0,0.02,0.04,1.74,0.04,Angola_2000
90,2001,Angola,AGO,26014777344.0,16945754,30.99,18.88,0.221,0.0,0.989,4.302,4.159,0.0,9.671,0.03,0.0,0.02,0.04,1.53,0.04,Angola_2001
91,2002,Angola,AGO,31389599744.0,17519418,33.08,20.7,0.239,0.0,1.158,5.02,6.181,1.78e-15,12.598,0.03,0.0,0.02,0.05,2.15,0.05,Angola_2002
93,2004,Angola,AGO,41307009024.0,18758138,37.16,24.3,0.3,0.0,1.44,5.034,11.926,0.001,18.701,0.03,0.0,0.03,0.05,3.83,0.07,Angola_2004
94,2005,Angola,AGO,51967275008.0,19433604,38.99,24.37,0.521,0.0,1.249,4.734,12.502,0.0,19.006,0.05,0.0,0.02,0.04,3.76,0.06,Angola_2005
95,2006,Angola,AGO,66748907520.0,20149904,38.0,22.49,0.539,0.0,1.304,7.757,12.502,0.0,22.102,0.05,0.0,0.02,0.07,3.75,0.07,Angola_2006
96,2007,Angola,AGO,87085293568.0,20905360,40.78,23.72,0.542,0.0,1.594,8.801,14.04,3.55e-15,24.977,0.05,0.0,0.03,0.08,4.03,0.08,Angola_2007
97,2008,Angola,AGO,105592000000.0,21695636,42.0,22.96,0.685,0.0,1.271,10.219,13.311,3.55e-15,25.486,0.06,0.0,0.02,0.09,3.67,0.08,Angola_2008
99,2010,Angola,AGO,126982000000.0,23356246,43.42,24.95,0.578,0.0,1.37,13.37,13.546,0.001,28.865,0.05,0.0,0.02,0.12,3.69,0.09,Angola_2010
100,2011,Angola,AGO,140474000000.0,24220660,42.33,24.64,0.765,0.0,1.403,14.345,13.817,0.0,30.33,0.06,0.0,0.02,0.13,3.9,0.09,Angola_2011
101,2012,Angola,AGO,149071000000.0,25107926,41.84,24.13,1.147,0.0,1.422,17.268,13.964,0.0,33.801,0.08,0.0,0.02,0.15,3.83,0.1,Angola_2012
102,2013,Angola,AGO,160861000000.0,26015786,41.22,24.04,1.557,0.0,0.766,17.441,13.465,0.0,33.229,0.11,0.0,0.01,0.15,3.64,0.09,Angola_2013
103,2014,Angola,AGO,170193000000.0,26941774,40.6,23.77,1.976,0.0,0.579,17.289,13.453,0.0,33.296,0.13,0.0,0.01,0.15,3.53,0.09,Angola_2014
105,2016,Angola,AGO,178334000000.0,28842482,43.18,24.61,1.744,0.0,1.495,15.403,12.762,0.0,31.404,0.12,0.0,0.02,0.13,3.29,0.09,Angola_2016
106,2017,Angola,AGO,178066000000.0,29816770,44.58,26.32,0.178,0.0,1.572,12.835,13.835,0.0,28.42,0.01,0.0,0.02,0.11,3.27,0.08,Angola_2017
107,2018,Angola,AGO,175930000000.0,30809788,38.44,21.67,1.937,0.0,1.608,12.963,7.867,0.001,24.376,0.12,0.0,0.02,0.11,1.91,0.07,Angola_2018
108,1992,Argentina,ARG,416680000000.0,33529320,111.32,36.54,2.495,2.803,48.303,63.633,3.997,0.0,121.231,0.47,0.03,1.22,0.69,1.68,0.54,Argentina_1992
111,1995,Argentina,ARG,461601000000.0,34828168,112.63,37.07,2.621,3.701,53.195,62.836,5.412,0.0,127.765,0.42,0.04,1.26,0.67,2.3,0.54,Argentina_1995
112,1996,Argentina,ARG,489406000000.0,35246376,112.87,37.89,2.422,3.1,57.542,65.921,5.778,0.0,134.762,0.38,0.03,1.31,0.69,2.44,0.56,Argentina_1996
113,1997,Argentina,ARG,531526000000.0,35657436,113.77,38.37,3.169,2.777,61.504,66.868,3.323,0.0,137.641,0.48,0.03,1.39,0.69,1.37,0.57,Argentina_1997
114,1998,Argentina,ARG,554567000000.0,36063448,112.56,37.96,3.283,2.84,61.614,69.576,2.14,0.0,139.452,0.5,0.03,1.37,0.71,0.92,0.58,Argentina_1998
115,1999,Argentina,ARG,538271000000.0,36467220,117.5,38.5,3.29,2.154,67.621,72.725,1.495,0.0,147.285,0.48,0.02,1.46,0.72,0.67,0.6,Argentina_1999
116,2000,Argentina,ARG,536481000000.0,36870796,117.51,39.91,2.771,1.656,69.438,67.434,1.059,0.0,142.358,0.39,0.02,1.47,0.66,0.39,0.56,Argentina_2000
117,2001,Argentina,ARG,515221000000.0,37275644,116.24,39.25,2.481,1.29,64.809,64.336,1.088,2.84e-14,134.004,0.33,0.01,1.36,0.62,0.4,0.53,Argentina_2001
118,2002,Argentina,ARG,461203000000.0,37681744,119.5,39.8,1.729,1.099,62.62,57.497,1.447,0.0,124.392,0.22,0.01,1.27,0.55,0.5,0.48,Argentina_2002
119,2003,Argentina,ARG,504301000000.0,38087868,127.2,43.79,2.28,1.99,69.07,59.357,1.935,0.0,134.631,0.27,0.02,1.36,0.56,0.67,0.49,Argentina_2003
120,2004,Argentina,ARG,552378000000.0,38491968,129.11,44.1,2.701,2.198,82.911,67.812,1.422,0.0,157.043,0.3,0.02,1.57,0.62,0.46,0.55,Argentina_2004
121,2005,Argentina,ARG,604065000000.0,38892924,128.52,43.67,3.241,3.268,81.967,71.8,1.158,0.0,161.434,0.34,0.03,1.52,0.65,0.35,0.55,Argentina_2005
122,2006,Argentina,ARG,655699000000.0,39289876,130.77,45.0,3.764,3.866,83.869,81.912,1.198,0.0,174.609,0.36,0.03,1.52,0.73,0.36,0.57,Argentina_2006
123,2007,Argentina,ARG,718085000000.0,39684304,131.03,47.4,3.998,3.66,87.178,77.952,1.458,2.84e-14,174.246,0.36,0.03,1.53,0.69,0.42,0.55,Argentina_2007
124,2008,Argentina,ARG,750664000000.0,40080160,130.45,46.12,3.99,3.877,90.12,88.658,1.462,0.0,188.106,0.35,0.03,1.53,0.79,0.4,0.59,Argentina_2008
125,2009,Argentina,ARG,709526000000.0,40482784,124.34,40.6,3.81,3.232,87.995,82.381,1.532,0.0,178.949,0.33,0.02,1.53,0.75,0.42,0.57,Argentina_2009
126,2010,Argentina,ARG,784986000000.0,40895752,116.14,41.67,4.178,3.99,86.928,90.145,1.491,0.001,186.733,0.33,0.03,1.4,0.8,0.41,0.56,Argentina_2010
127,2011,Argentina,ARG,835970000000.0,41320496,115.37,42.74,4.586,4.723,92.587,86.908,1.469,0.001,190.274,0.34,0.03,1.45,0.77,0.41,0.55,Argentina_2011
128,2012,Argentina,ARG,827405000000.0,41755188,118.86,42.24,4.184,5.009,95.381,85.587,1.554,0.0,191.715,0.3,0.03,1.47,0.74,0.43,0.55,Argentina_2012
129,2013,Argentina,ARG,847305000000.0,42196036,120.81,44.01,4.581,4.84,91.338,87.487,1.887,2.84e-14,190.133,0.32,0.03,1.39,0.76,0.51,0.54,Argentina_2013
130,2014,Argentina,ARG,825981000000.0,42637508,121.59,43.9,4.336,5.536,92.844,84.292,1.649,0.0,188.657,0.29,0.04,1.39,0.72,0.43,0.53,Argentina_2014
131,2015,Argentina,ARG,847855000000.0,43075416,122.12,43.62,4.571,5.467,93.535,86.954,1.88,0.0,192.406,0.32,0.04,1.38,0.73,0.5,0.54,Argentina_2015
132,2016,Argentina,ARG,828373000000.0,43508460,123.69,46.55,4.029,4.192,96.303,84.556,1.898,0.0,190.977,0.27,0.03,1.38,0.71,0.49,0.54,Argentina_2016
133,2017,Argentina,ARG,850482000000.0,43937144,127.87,49.38,4.421,4.279,96.442,80.856,1.806,0.001,187.805,0.29,0.03,1.36,0.67,0.43,0.52,Argentina_2017
134,2018,Argentina,ARG,829373000000.0,44361148,127.61,48.28,4.378,4.356,96.125,74.394,1.847,0.0,181.1,0.28,0.03,1.29,0.61,0.45,0.49,Argentina_2018
135,1992,Armenia,ARM,15777784832.0,3442820,3.16,0.76,0.239,0.374,3.477,1.773,0.0,8.88e-16,5.863,0.04,0.0,0.09,0.02,0.0,0.03,Armenia_1992
136,1993,Armenia,ARM,13153102848.0,3363111,2.9,0.64,0.12,0.007,1.508,0.939,0.0,0.001,2.575,0.02,0.0,0.04,0.01,0.0,0.01,Armenia_1993
137,1994,Armenia,ARM,13441652736.0,3283664,2.73,0.55,0.061,0.095,1.616,0.942,0.0,0.0,2.713,0.01,0.0,0.04,0.01,0.0,0.01,Armenia_1994
138,1995,Armenia,ARM,14085538816.0,3217349,2.57,0.54,0.139,0.007,2.616,0.671,0.0,0.0,3.433,0.02,0.0,0.06,0.01,0.0,0.01,Armenia_1995
139,1996,Armenia,ARM,14363169792.0,3168213,2.41,0.54,0.174,0.015,2.041,0.366,0.0,0.0,2.595,0.03,0.0,0.05,0.0,0.0,0.01,Armenia_1996
140,1997,Armenia,ARM,14402198528.0,3133081,2.26,0.54,0.184,0.015,2.678,0.392,0.0,0.0,3.269,0.03,0.0,0.06,0.0,0.0,0.01,Armenia_1997
141,1998,Armenia,ARM,14841954304.0,3108691,2.06,0.52,0.187,0.015,2.789,0.406,0.0,0.0,3.397,0.03,0.0,0.06,0.0,0.0,0.01,Armenia_1998
143,2000,Armenia,ARM,15244832768.0,3069597,1.8,0.53,0.139,0.0,2.565,0.788,0.0,0.0,3.491,0.02,0.0,0.05,0.01,0.0,0.01,Armenia_2000
144,2001,Armenia,ARM,16184125440.0,3050686,1.85,0.54,0.144,0.0,2.612,0.777,0.0,0.0,3.533,0.02,0.0,0.05,0.01,0.0,0.01,Armenia_2001
145,2002,Armenia,ARM,18018121728.0,3033976,1.9,0.63,0.211,0.048,2.002,0.816,0.0,4.44e-16,3.077,0.03,0.0,0.04,0.01,0.0,0.01,Armenia_2002
146,2003,Armenia,ARM,19928737792.0,3017938,1.95,0.61,0.22,0.073,2.228,0.934,0.0,0.001,3.456,0.03,0.0,0.04,0.01,0.0,0.01,Armenia_2003
148,2005,Armenia,ARM,23626534912.0,2981262,2.05,0.64,0.331,0.0,3.063,0.982,0.0,0.0,4.376,0.03,0.0,0.06,0.01,0.0,0.01,Armenia_2005
149,2006,Armenia,ARM,25937829888.0,2958301,2.1,0.95,0.338,0.004,3.14,0.92,0.0,0.0,4.402,0.03,0.0,0.06,0.01,0.0,0.01,Armenia_2006
150,2007,Armenia,ARM,28610387968.0,2932615,2.17,0.79,0.407,0.007,3.762,0.924,0.0,0.0,5.1,0.04,0.0,0.07,0.01,0.0,0.02,Armenia_2007
151,2008,Armenia,ARM,29672505344.0,2907615,2.21,0.77,0.412,0.007,4.122,1.033,0.0,0.001,5.575,0.04,0.0,0.07,0.01,0.0,0.02,Armenia_2008
153,2010,Armenia,ARM,24485627904.0,2877314,2.21,0.77,0.288,0.004,2.953,1.008,0.0,0.0,4.253,0.02,0.0,0.05,0.01,0.0,0.01,Armenia_2010
154,2011,Armenia,ARM,24860479488.0,2876536,2.21,0.8,0.264,0.007,3.756,0.942,0.0,8.88e-16,4.969,0.02,0.0,0.06,0.01,0.0,0.01,Armenia_2011
156,2013,Armenia,ARM,27513477120.0,2897593,2.36,1.02,0.259,0.004,4.419,0.854,0.0,0.0,5.535,0.02,0.0,0.07,0.01,0.0,0.02,Armenia_2013
158,2015,Armenia,ARM,29365307392.0,2925559,2.47,1.09,0.241,0.004,4.427,0.798,0.0,0.0,5.469,0.02,0.0,0.07,0.01,0.0,0.02,Armenia_2015
159,2016,Armenia,ARM,29426933760.0,2936147,2.49,1.62,0.154,0.004,4.239,0.807,0.0,0.0,5.203,0.01,0.0,0.06,0.01,0.0,0.01,Armenia_2016
161,2018,Armenia,ARM,33296515072.0,2951741,2.35,1.17,0.315,0.004,4.679,0.828,0.0,0.0,5.826,0.02,0.0,0.06,0.01,0.0,0.02,Armenia_2018
162,1992,Australia,AUS,477843000000.0,17402180,138.9,78.2,2.942,151.004,34.186,88.475,7.35,2.375,286.332,0.55,1.79,0.86,0.96,3.1,1.27,Australia_1992
163,1993,Australia,AUS,500841000000.0,17603210,137.46,77.92,3.03,151.373,35.973,91.155,7.197,2.597,291.325,0.55,1.77,0.88,0.99,3.08,1.28,Australia_1993
164,1994,Australia,AUS,527346000000.0,17798526,138.45,77.71,3.56,154.669,37.837,93.923,7.03,3.065,300.084,0.6,1.8,0.92,1.02,2.97,1.31,Australia_1994
168,1998,Australia,AUS,634305000000.0,18587028,136.0,75.55,3.524,180.054,44.09,100.518,6.996,3.515,338.697,0.54,2.06,0.98,1.02,3.02,1.4,Australia_1998
171,2001,Australia,AUS,713626000000.0,19194676,167.17,109.86,3.574,191.835,49.769,103.536,8.248,3.493,360.455,0.48,2.12,1.04,1.0,3.03,1.42,Australia_2001
172,2002,Australia,AUS,746683000000.0,19401366,161.55,103.77,3.541,194.077,51.353,106.127,8.131,3.884,367.113,0.45,2.05,1.04,1.02,2.83,1.41,Australia_2002
173,2003,Australia,AUS,773869000000.0,19624162,123.59,65.19,3.622,197.462,50.233,110.743,7.236,3.937,373.233,0.43,1.93,0.99,1.04,2.51,1.36,Australia_2003
174,2004,Australia,AUS,809420000000.0,19879654,140.73,85.42,3.591,204.293,53.059,114.938,6.93,3.955,386.766,0.4,1.87,1.01,1.04,2.23,1.35,Australia_2004
175,2005,Australia,AUS,840555000000.0,20178542,121.4,62.57,3.678,201.452,54.681,116.944,6.942,3.905,387.602,0.38,1.74,1.01,1.05,2.09,1.31,Australia_2005
176,2006,Australia,AUS,868839000000.0,20526300,142.45,84.75,3.937,206.942,56.509,118.868,7.137,3.902,397.295,0.38,1.69,1.02,1.06,2.14,1.3,Australia_2006
177,2007,Australia,AUS,913876000000.0,20916340,137.7,77.96,3.994,204.714,61.4,120.161,7.549,4.108,401.926,0.36,1.6,1.08,1.07,2.17,1.28,Australia_2007
178,2008,Australia,AUS,942109000000.0,21332292,120.7,61.63,3.915,207.416,62.615,123.968,7.583,4.156,409.653,0.34,1.57,1.07,1.11,2.09,1.28,Australia_2008
179,2009,Australia,AUS,964938000000.0,21750852,125.88,66.88,3.775,203.142,62.222,120.643,7.854,3.685,401.321,0.32,1.55,1.08,1.1,2.14,1.27,Australia_2009
